names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltypes
PDGFD,75.54429,4.13543,0.0,0.0,0.7286020666796647,0.12882368921488727,Cardiomyocytes (NKX2.5+)
SLC25A4,74.90838,2.999654,0.0,0.0,0.8223825307077403,0.2810377614778593,Cardiomyocytes (NKX2.5+)
MYH6,74.85837,4.3110905,0.0,0.0,0.7925521544160655,0.16854115729421354,Cardiomyocytes (NKX2.5+)
LAMA4,74.21881,5.476462,0.0,0.0,0.6644570091635796,0.038793806030969845,Cardiomyocytes (NKX2.5+)
ENO3,74.14844,3.2287807,0.0,0.0,0.7806589978553324,0.1980440097799511,Cardiomyocytes (NKX2.5+)
MITF,73.85343,2.950629,0.0,0.0,0.8198479235718463,0.24365661505025807,Cardiomyocytes (NKX2.5+)
TECRL,73.6347,2.9065456,0.0,0.0,0.9327354260089686,0.48277641945123606,Cardiomyocytes (NKX2.5+)
TCAP,73.52662,4.370853,0.0,0.0,0.6958471436927276,0.08285791904373811,Cardiomyocytes (NKX2.5+)
ATP2A2,73.20511,2.3553038,0.0,0.0,0.8954961980892961,0.4938875305623472,Cardiomyocytes (NKX2.5+)
KCNH7,73.19925,5.0767865,0.0,0.0,0.6749853772665236,0.08223308883455582,Cardiomyocytes (NKX2.5+)
MT-CO1,73.02571,1.054407,0.0,0.0,0.9980503022031585,0.9983700081499592,Cardiomyocytes (NKX2.5+)
MT-ND4,72.87056,1.2727046,0.0,0.0,0.9970754533047378,0.9942135289323554,Cardiomyocytes (NKX2.5+)
TRIM55,72.83749,3.6619775,0.0,0.0,0.7192435172548255,0.12485737571312143,Cardiomyocytes (NKX2.5+)
POPDC2,72.70095,3.2687724,0.0,0.0,0.7740300253460713,0.16411301276826948,Cardiomyocytes (NKX2.5+)
RCAN2,72.291534,4.137631,0.0,0.0,0.6880483525053617,0.09483835914153763,Cardiomyocytes (NKX2.5+)
XPO4,71.25223,2.4022253,0.0,0.0,0.846753753168259,0.4293670198315675,Cardiomyocytes (NKX2.5+)
FBN2,70.079865,2.4224129,0.0,0.0,0.8871124975628778,0.589106221135561,Cardiomyocytes (NKX2.5+)
NEXN,69.9702,2.4777658,0.0,0.0,0.8255020471826867,0.3576745449606085,Cardiomyocytes (NKX2.5+)
MB,69.65003,3.8407319,0.0,0.0,0.6866835640475726,0.0976093452866069,Cardiomyocytes (NKX2.5+)
MT-ND3,69.32528,1.0225527,0.0,0.0,0.9962955741860011,0.993615865254007,Cardiomyocytes (NKX2.5+)
PPP1R12B,68.41966,2.6664848,0.0,0.0,0.8085396763501658,0.3504482477587612,Cardiomyocytes (NKX2.5+)
PPP1R14C,68.11364,4.0285254,0.0,0.0,0.6496393059075843,0.07807660961695191,Cardiomyocytes (NKX2.5+)
RBM24,67.873665,2.9641674,0.0,0.0,0.7256775199844024,0.20972561803857648,Cardiomyocytes (NKX2.5+)
CAMK2D,67.6866,2.0538938,0.0,0.0,0.8947163189705596,0.5681879923933714,Cardiomyocytes (NKX2.5+)
SLCO3A1,67.462135,3.560892,0.0,0.0,0.6716708910118931,0.13683781581092094,Cardiomyocytes (NKX2.5+)
FABP3,66.97732,3.4041388,0.0,0.0,0.6825891986742055,0.12328171692474871,Cardiomyocytes (NKX2.5+)
