Cardiac_Mesoderm,Cardiomyocytes,Definitive_Endoderm,Endocardial,Epicardial,Extraembryonic_Mesoderm,Fibroblasts,Foregut_Epithelium,Primitive_Streak,Smooth_Muscle,iPSCs
EPHB2,PTPRD,COLEC12,NRP2,MYRF,CCSER1,HS3ST3A1,C12orf75,DDX21,BST2,H2AZ1
PRKD1,NCAM1,RP5-972B16.2,DOCK4,COL5A2,SUCO,SBSPON,THRB,HSPA8,CCDC3,SET
PRTG,PAM,FOXA2,PLEKHG1,COL6A2,COL5A1,FREM1,TTC6,TKT,LGALS1,RPL39L
HAPLN1,CADPS,PPFIBP2,KALRN,MICAL2,CAST,CDH11,KLF5,HMGB3,MAGED2,CBR1
CDK14,NREP,ALCAM,PPP1R16B,ADAMTS9,PDLIM1,LHFPL2,PON2,PTMA,ITGA1,RARRES2
NTN4,MYOCD,PRDX4,IFI16,KRT18,EPCAM,LGR5,HEBP1,NCL,NR2F2-AS1,CRABP1
PREX1,MYL3,SCN7A,JAM3,LAMC1,OPTN,HTRA1,LAMA1,SLIRP,TPM1,CYCS
LINC01090,PPP1R12B,AL163953.3,PEAK1,COL6A1,CLDN4,RP11-419I17.1,GOLM1,PAICS,SOX6,SNTG2
ERI1,CCDC141,SSBP3,ELMO1,IFITM3,OXR1,BEX3,PDE3A,SNRPB,COL5A1,LINC01194
C1GALT1,XPR1,FRY,JAK1,IL6ST,COL1A2,KDR,MPC2,TOMM7,MEIS2,PRDX1
HCN1,MT-CO1,B4GALT1,AC007319.1,VIM,SPATS2L,TEAD1,SLC44A3-AS1,RPSA,PRICKLE1,ENO1
PTPN13,SLC25A4,S100A13,FAR2,RUNX1T1,SLC2A1,HAS2-AS1,ATP1B1,MTATP6P1,PLK2,TERF1
GYPE,LDB3,VEZT,PRKCH,ARHGAP10,MYL12B,RUNX1T1,PDLIM1,RIMS2,PLAGL1,PTGES3
CCDC34,MSRB3,RBM47,TPT1,SLIT3,ARL6IP5,KIF26B,FGA,GAPDH,PRKG1,DNAJB6
RP11-33A14.1,ENO3,TRPC4,RAP1B,PKDCC,GRHL2,NRP2,CTSH,RANBP1,EVA1B,C1QBP
COLEC12,PPP1R13B,FGD6,MECOM,WASF1,AMOT,FRMD6,GSTM3,CCT5,CCDC80,MT-ND4
SYNDIG1,DENND5B,ADAMTS12,CREB5,SIPA1L2,CST3,TCF4,FAM155A,MT-ND1,PRDM6,PSAT1
CGNL1,NEXN,RP11-40F8.2,HOPX,SMOC2,EMP2,JCAD,CDH2,LINC01356,C7,THY1
MALT1,MLIP,PTGR1,ST6GAL1,MEIS2,FN1,DOK4,RAMP1,MT-ND3,TFPI,PTPRG
ANK2,PPP1R1A,LAMB1,QKI,RELN,FUT8,CAP2,HNF1A-AS1,FABP5,DLC1,U91319.1
LGR4,DPF3,ID4,ESAM,KCTD12,IGDCC3,SIPA1L2,HNF4G,RPL12,SFRP1,PARP1
RBM20,CPEB4,COL4A2,PROCR,CSRP2,PPDPF,DSCAM,CLDN4,FOXH1,LSAMP,DLGAP1
ABTB2,RNF150,C12orf75,MARCKS,PRDM6,ATP2B1,MEIS2,LINC00261,MT-RNR1,MIR100HG,TMEM132B
MAPK10,CDH2,GYG2P1,PECAM1,WIPF1,AHR,RBM20,SLC44A3,ZIC2,PBX3,GAL
PCDH7,MDH1,TBX3,PDE4D,FLRT2,SLC38A1,PKIG,UNC13C,IGFBP2,BAMBI,NLGN4X
PLEKHA6,FBXL7,RPS6,COTL1,COL21A1,CALD1,SLC9A3R1,MGST3,DEK,CD81,PEBP1
RPS11,BMP5,CAMK2D,BST2,SLC4A8,MAML2,LRP1B,CLDN3,ODC1,FBXL7,ANKRD18CP
JCAD,SMYD1,MXI1,F2RL2,TGFBR3,DOCK3,EPHB2,F10,CTD-2306M5.1,PHLDA1,UGP2
TTC28,KIF13A,FARP1,CD34,AHNAK,GAPDH,LINC01099,FTH1,BNIP3,ECE1,NLGN1
RP11-398G24.2,TMOD1,COL4A5,GYPC,MMP2,NR2F2,CCDC34,ANXA3,NPM3,EPS8,TMSB4X
CNTNAP5,CAMK2D,BMP2,HSPG2,IGDCC3,TPT1,GUCY1A1,MYL12B,CKS2,CHRM2,RP11-256I9.2
EPHA4,PKP2,MAL2,TIMP1,NME4,TANC2,ELAPOR2,FRAS1,UQCRH,TPT1,CASC15
GREB1L,KCNN2,CST3,CCNY,CDH3,TFAP2A,SCMH1,C4orf19,RPS5,PDE3A,NPM1
NRP2,LAMA2,TTR,CALM1,BEX3,TINAGL1,ADAMTS12,HABP2,TIMM13,COL4A2,RPL8
CRNDE,TBX20,POT1-AS1,MYCT1,ASH2L,JUN,MDK,SHROOM3,TUBA1C,ADGRA2,BNIP3
MESP1,MALAT1,SMAD9,ZNF521,CPED1,TMTC2,PDZRN3,ID1,SERBP1,SVIL,ANK2
EOMES,PKIA,ZNF611,GBP4,GRM8,IGFBP2,SERINC3,DHRS7,ACTG1,HGF,SNHG14
ZNF90,MEF2C,SH3D19,SNX3,GUCY1A1,COL5A2,WLS,PPDPF,SRSF7,NFIA,FRMD5
TPK1,TGFB2,ROR1,AFAP1L1,EIF4EBP1,LIMCH1,HOXB2,NOVA1,PKM,RUNX1T1,PCNX2
ENPP7P8,FABP3,EPSTI1,SRGAP1,RNF150,CAPN2,NID2,TSPAN13,PTTG1,DCN,HMGB3
NEO1,SNTA1,RASGEF1B,TGFBR2,DOK4,LIMA1,MID1,WWC1,SEPHS1,C1orf21,MTHFD2
SVEP1,MB,VCAN,RGL1,PLCE1,SLC35F2,RP11-281P23.2,S100A11,EOMES,CHSY1,RP11-485F13.1
PLSCR1,MYOZ2,PPM1H,CD81,TIMP1,ISYNA1,TMEM185A,ID2,NODAL,PSD3,PHC1
RP11-379B18.8,XPO4,AGL,ENG,LINC01695,KANK4,PTCH1,CDX2,PSIP1,CXCL12,TOMM7
MID1,TRIM55,PTPN13,ARHGAP31,PXK,KCNQ5,DNAJC15,LINC02889,XACT,CBLB,SLIRP
RPS23,PLEKHA5,APELA,ETV6,MGST3,CAPG,CDK6-AS1,FOXA1,PEBP1,ITGA8,UST
ST8SIA1,PCDH7,WWC2,SASH1,RGL1,ERRFI1,TCEAL9,GSTA1,MSH2,RBMS3,PAICS
KAZN,DCBLD2,CDH2,CDK17,TECRL,CDH3,NXPH2,PRDM16,GSTP1,ARID5B,MSH2
RUNX1T1,HIPK3,PROS1,GPX1,PCDH7,CTTNBP2,MCF2L2,SELENOP,CFL1,MFAP4,MAD2L2
TMEM232,CELF2,DOCK8,ARHGEF12,ARHGAP22,DSTN,PDGFRA,ACAA1,MTHFD2,COL4A1,CKS2
VIM,PALM2AKAP2,FBLN2,OXR1,CRB2,CLDN6,PKP2,SIPA1L3,CCT8,RSPO3,RP11-624M8.1
NUCKS1,RBM24,ANXA3,IER2,DPY19L2P3,RHOBTB3,PSTPIP2,KCNH5,TPI1,FKBP10,PSIP1
SMAD6,ZNF704,PATJ,TCF4,NPNT,LAPTM4A,IGDCC3,HPN,DUT,BGN,FGD4
PSKH2,PRICKLE1,MYOF,SNRK,RSRP1,MXRA8,LIFR,HHEX,EIF3A,PDLIM3,TMEM178B
BBOX1-AS1,CRYAB,HNF4A,PTCHD4,RP11-120I21.2,TMSB10,LINC00458,GSTO1,MTRNR2L1,ANO4,UQCRH
KLHL14,EEF1A2,CST1,APLNR,KCNN2,GUCY1A1,C1orf21,CMTM8,MCM3,GYPC,MDN1
RP11-264E23.4,TANC2,SMAD6,RB1,GALNT10,EIF1,RP11-113C12.4,CASC15,GAS5,PTN,RPL12
NASP,COX7B,FMNL2,ITGB1,COL5A1,MTUS2,UTY,CHST9,CCNB1,NID1,NCL
